appid,Title,Type,Price,Rating,Required_Age,Is_Multiplayer,Genre
31210,Tales of Monkey Island Complete Pack,game,19.99,79,0,0,Adventure
296770,Real Boxing™,game,4.99,-1,0,1,Sports
65930,The Bureau: XCOM Declassified,game,19.99,66,17,0,Action
15700,Oddworld: Abe s Oddysee®,game,2.99,-1,0,0,Adventure
251130,Chroma Squad,game,14.99,75,0,0,Indie
251130,Chroma Squad,game,14.99,75,0,0,RPG
251130,Chroma Squad,game,14.99,75,0,0,Strategy
277751,The Count of Monster Disco,game,9.99,-1,0,0,Simulation
45770,Dead Rising 2: Off the Record,game,19.99,66,17,0,Action
45770,Dead Rising 2: Off the Record,game,19.99,66,17,0,Adventure
405010,Bitardia,game,6.99,-1,0,0,Action
405010,Bitardia,game,6.99,-1,0,0,Adventure
405010,Bitardia,game,6.99,-1,0,0,Early Access
405010,Bitardia,game,6.99,-1,0,0,Indie
377120,Chronicle Keepers: The Dreaming Garden,game,4.99,-1,0,0,Adventure
377120,Chronicle Keepers: The Dreaming Garden,game,4.99,-1,0,0,Casual
296830,Lucius II,game,19.99,48,0,0,Action
296830,Lucius II,game,19.99,48,0,0,Adventure
296830,Lucius II,game,19.99,48,0,0,Indie
296830,Lucius II,game,19.99,48,0,0,Simulation
360640,12 Labours of Hercules II: The Cretan Bull,game,2.99,-1,0,0,Casual
360640,12 Labours of Hercules II: The Cretan Bull,game,2.99,-1,0,0,Strategy
335210,Rift s Cave,game,9.99,-1,0,0,Adventure
335210,Rift s Cave,game,9.99,-1,0,0,Early Access
335210,Rift s Cave,game,9.99,-1,0,0,Indie
350510,HassleHeart,game,2.99,-1,0,0,Indie
356050,Beyond Eyes,game,14.99,60,0,0,Adventure
356050,Beyond Eyes,game,14.99,60,0,0,Indie
274940,Depth,game,24.99,65,0,1,Action
274940,Depth,game,24.99,65,0,1,Indie
45300,Wings of Prey,game,9.99,78,0,0,Simulation
307270,Super Lemonade Factory,game,4.99,-1,0,0,Indie
381170,Lost in Paradise,game,2.99,-1,0,0,Action
381170,Lost in Paradise,game,2.99,-1,0,0,Adventure
381170,Lost in Paradise,game,2.99,-1,0,0,Indie
227680,StarForge,game,9.99,-1,0,1,Action
227680,StarForge,game,9.99,-1,0,1,Adventure
227680,StarForge,game,9.99,-1,0,1,Indie
227680,StarForge,game,9.99,-1,0,1,RPG
227680,StarForge,game,9.99,-1,0,1,Simulation
227680,StarForge,game,9.99,-1,0,1,Strategy
47889,Battlefield: Bad Company 2 Vietnam,game,14.99,86,17,1,Action
211900,Conquest of Elysium 3,game,9.99,-1,0,1,Indie
211900,Conquest of Elysium 3,game,9.99,-1,0,1,Strategy
263020,STARWHAL,game,11.99,-1,0,0,Action
263020,STARWHAL,game,11.99,-1,0,0,Casual
263020,STARWHAL,game,11.99,-1,0,0,Indie
263020,STARWHAL,game,11.99,-1,0,0,Sports
258890,Type:Rider,game,4.99,-1,0,0,Casual
258890,Type:Rider,game,4.99,-1,0,0,Indie
312400,Frontline : Longest Day,game,4.99,-1,0,0,Strategy
254460,Obscure,game,6.99,63,0,0,Action
254460,Obscure,game,6.99,63,0,0,Adventure
286440,Rover Rescue,game,4.99,-1,0,0,Action
286440,Rover Rescue,game,4.99,-1,0,0,Indie
286440,Rover Rescue,game,4.99,-1,0,0,Strategy
350330,Call of the Ninja!,game,6.99,-1,0,0,Casual
350330,Call of the Ninja!,game,6.99,-1,0,0,Indie
300320,The Few,game,7.99,-1,0,0,Strategy
371100,Waste Walkers,game,9.99,-1,0,0,Action
371100,Waste Walkers,game,9.99,-1,0,0,Adventure
371100,Waste Walkers,game,9.99,-1,0,0,Indie
371100,Waste Walkers,game,9.99,-1,0,0,RPG
371100,Waste Walkers,game,9.99,-1,0,0,Simulation
371100,Waste Walkers,game,9.99,-1,0,0,Strategy
301610,openCanvas 6,game,49.99,-1,0,0,Design & Illustration
301610,openCanvas 6,game,49.99,-1,0,0,Photo Editing
268220,Meltdown,game,6.99,-1,0,1,Action
268220,Meltdown,game,6.99,-1,0,1,Indie
442710,Fantasy Tales Online,game,0,-1,0,0,Early Access
442710,Fantasy Tales Online,game,0,-1,0,0,Free to Play
442710,Fantasy Tales Online,game,0,-1,0,0,Indie
442710,Fantasy Tales Online,game,0,-1,0,0,Massively Multiplayer
442710,Fantasy Tales Online,game,0,-1,0,0,RPG
7840,Death Track®: Resurrection,game,2.99,53,0,0,Racing
444790,Abandoned Knight,game,1.99,-1,0,0,Action
444790,Abandoned Knight,game,1.99,-1,0,0,Adventure
444790,Abandoned Knight,game,1.99,-1,0,0,Casual
262550,Gunman Clive,game,1.99,-1,0,0,Action
262550,Gunman Clive,game,1.99,-1,0,0,Indie
343370,SLAMMED!,game,3.99,-1,0,0,Indie
343370,SLAMMED!,game,3.99,-1,0,0,RPG
278550,A-Train 9 V4.0 : Japan Rail Simulator,game,59.99,-1,0,0,Simulation
39500,Gothic® 3,game,9.99,63,0,0,Action
39500,Gothic® 3,game,9.99,63,0,0,RPG
47000,4 Elements,game,3.99,-1,0,0,Adventure
47000,4 Elements,game,3.99,-1,0,0,Casual
397040,Sphere III: Enchanted World,game,0,-1,0,1,Action
397040,Sphere III: Enchanted World,game,0,-1,0,1,Free to Play
397040,Sphere III: Enchanted World,game,0,-1,0,1,Massively Multiplayer
397040,Sphere III: Enchanted World,game,0,-1,0,1,RPG
273600,Descent: FreeSpace – The Great War,game,5.99,-1,0,1,Action
15380,Heroes of Might & Magic V: Hammers of Fate,game,9.99,66,0,0,Strategy
402530,The Last Door: Season 2 - Collector s Edition,game,9.99,-1,0,0,Adventure
372060,DigiFish Aqua Real 2,game,9.99,-1,0,0,Utilities
51100,Tactical Intervention,game,0,47,0,1,Action
51100,Tactical Intervention,game,0,47,0,1,Free to Play
6090,Armed and Dangerous®,game,5.99,78,0,0,Action
