appid,Title,Type,Price,Rating,Required_Age,Is_Multiplayer,Genre
352400,LEGO® Jurassic World,game,39.99,72,0,0,Adventure
343150,Endica VII The Dream King,game,9.99,-1,0,0,Action
343150,Endica VII The Dream King,game,9.99,-1,0,0,Adventure
343150,Endica VII The Dream King,game,9.99,-1,0,0,Casual
343150,Endica VII The Dream King,game,9.99,-1,0,0,Indie
343150,Endica VII The Dream King,game,9.99,-1,0,0,RPG
400220,Bass Blocks,game,4.99,-1,0,0,Action
400220,Bass Blocks,game,4.99,-1,0,0,Adventure
400220,Bass Blocks,game,4.99,-1,0,0,Indie
400220,Bass Blocks,game,4.99,-1,0,0,RPG
346320,Streets of Chaos,game,0.99,-1,0,0,Indie
346320,Streets of Chaos,game,0.99,-1,0,0,Simulation
346320,Streets of Chaos,game,0.99,-1,0,0,Strategy
38120,Farm Frenzy,game,4.99,-1,0,0,Casual
356170,Tile Rider,game,3.99,-1,0,0,Action
356170,Tile Rider,game,3.99,-1,0,0,Adventure
356170,Tile Rider,game,3.99,-1,0,0,Indie
356170,Tile Rider,game,3.99,-1,0,0,Racing
323450,Alphadia Genesis,game,9.99,-1,0,0,Action
323450,Alphadia Genesis,game,9.99,-1,0,0,Adventure
323450,Alphadia Genesis,game,9.99,-1,0,0,RPG
303710,Monomino,game,5.99,-1,0,0,Casual
303710,Monomino,game,5.99,-1,0,0,Indie
240600,MotoGP™13,game,19.99,-1,0,1,Racing
240600,MotoGP™13,game,19.99,-1,0,1,Simulation
